,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME
72586,20912398.0,CCCN(C1=CC=C(C=C1)F)C(=O)C2CCCN(C2)C3=NC=NC4=C3N=C5N4CCCCC5,Inactive
344230,24687197.0,C1COCCN1C2=NC(=CS2)C(=O)NNC(=O)C3=CC(=NC4=CC=CC=C43)C5=CC=C(C=C5)Cl,Inactive
178627,661775.0,CC1=CC2=C(C(C(=C(O2)N)C#N)C3=CC=NC=C3)C(=O)N1CCN(C)C,Inactive
216415,16301878.0,CC(C(=O)N1CCC2=CC=CC=C21)OC(=O)C3=CC(=CC=C3)[N+](=O)[O-],Inactive
19744,3013233.0,CC1=CC(=NC(=N1)NC(=NCCC2=CC=C(C=C2)OC)N)C,Inactive
194325,2170628.0,C1=CC=C(C=C1)C2=CC=C(C=C2)NC(=O)CCl,Inactive
3590,3100695.0,CC(C)OCC1CC(C(=O)O1)CC(=O)NC(=S)NC2=CC(=CC=C2)[N+](=O)[O-],Inactive
256028,3658092.0,CN1CCN(CC1)C2=CC=C(C=C2)NC(=S)NC(=O)C3=CC=CC4=C3C=CC=C4Cl,Inactive
110833,2945720.0,CC1=CC(=NC(=N1)SC2CC(=O)N(C2=O)C3=CC(=CC(=C3)C(=O)OC)C(=O)OC)C,Inactive
251601,2000582.0,CCOC1=CC(=C(C=C1)C2=NC(=NC=C2C3=CC=C(C=C3)Cl)N)O,Inactive
134499,1316301.0,CC1=CC(=CC=C1)N(CC(=O)NC2=CC=C(C=C2)NC(=O)C)S(=O)(=O)C,Inactive
363134,1941538.0,CC(=O)NC1=NN(C(=N1)NC(=O)C(Cl)(Cl)Cl)C2=CC=CC=C2,Inactive
293354,387352.0,C1CN(CCNCCN(CCN1)CC(=O)O)CC(=O)O.Cl,Inactive
112417,23723855.0,CS(=O)(=O)N1CCC(CC1)OC2=CC=CC(=C2)C(=O)N(CC=C)CC#C,Inactive
333528,24207945.0,CC(C)COC(=O)N1CC(CC1C(=O)NC2=CC3=C(C=C2)OCO3)O,Inactive
62579,3243127.0,CC1=CC=C(C=C1)NC(=O)C2=C(N(N=N2)C3=CC(=CC(=C3)C)C)N,Inactive
255521,7692493.0,COC1=CC=CC(=C1)NC(=O)CCCCCN2C(=O)[C@@H]3CC4=CC=CC=C4CN3C2=O,Inactive
160564,3245798.0,CN1CCN(CC1)CCCNC(=O)C2CCN(CC2)C3=NN=C(S3)N4C=CC=C4,Inactive
103865,16190133.0,CC1=CC=CN2C1=NC(=C2CN(C)CC3CC4=CC=CC=C4O3)C(=O)N5CCCCC5,Inactive
373029,2811514.0,CC1=CC=C(C=C1)S(=O)(=O)N2CCCN(CC2)C3=NC=CC(=N3)C(F)(F)F,Inactive
199483,5219342.0,CC1=CC=NC2=NC(=NN12)C(=O)OCC(=O)C3=C(N(C(=C3)C)CC4CCCO4)C,Inactive
3478,764686.0,C1COCCN1C(=O)C2=CC(=CC=C2)NC(=O)C3=CC=CC=C3,Inactive
8339,1167408.0,C1CCC(CC1)N(C2=CC=CC=N2)C(=O)COC3=C(C=C(C=C3)Cl)Cl,Inactive
264329,3838273.0,C1=CC=C(C=C1)C2=C(SN=N2)S(=O)(=O)C3=CC(=C(C=C3)Cl)Cl,Inactive
60106,3236883.0,C1C2C=CC1C3C2C(=O)N(C3=O)CNC(=O)NC4=CC=CC=N4,Inactive
243277,4678256.0,C1CC(CCC1C(=O)NC2=CC=C(C=C2)CC3=CC=NC=C3)N4C(=O)C5C6C=CC(C5C4=O)C7C6C7,Inactive
282,5282759.0,CCCCCCC/C=C\CCCCCCCCC(=O)O,Inactive
216207,4802979.0,CCCCN1C(=O)C2=CC=CC=C2C(=N1)C(=O)NC3=C(N(N(C3=O)C4=CC=CC=C4)C)C,Inactive
129349,53301666.0,C1COC2=C(O1)C=CC(=C2)N3C(=NN=N3)C4C5=CC=CC=C5C(=O)N4CC6=CC7=C(C=C6)OCO7,Inactive
101818,1616060.0,CS(=O)(=O)N1CCN(CC1)C2=CC=C(C=C2)NC(=S)NC(=O)C3=CC=CS3,Inactive
314286,852542.0,CCNC1=NC(=C(N=C1C#N)CN(C2=CC=CC=C2)C(=O)C)C,Inactive
167287,912697.0,C1=CC=C(C=C1)CC2=NC(=NO2)CC3=CC(=C(C=C3)Cl)Cl,Inactive
45253,4621994.0,CC1CCCCC1NC(=O)C2=C(C=CC(=C2)S(=O)(=O)N3CC(CC(C3)C)C)F,Inactive
63692,3245880.0,CN(C)C1=CC=C(C=C1)C2N(CCN2S(=O)(=O)C3=CC=CC=C3)C(=O)N4CCOCC4,Inactive
284339,51361333.0,CC(C)N1C(=O)C2=CC=CC=C2N1CC3=CN(N=N3)CC4=CC=CS4,Inactive
301954,53301782.0,C1CCC(CC1)CN2[C@@H](CNC(=O)C2=O)CCCCN3CCN(C(=O)C3=O)CCC4=CC=CC=C4,Inactive
114043,6469424.0,CC(=O)NC1=CC=C(C=C1)S(=O)(=O)N2CCN(CC2)CCC3=CC=CC=C3,Inactive
327092,3149815.0,CCCOC1=CC=C(C=C1)C2=NC3=CC=CC=C3C(=O)O2,Inactive
131067,1153704.0,CCN1C(=NN=C1SCC(=O)NC2=CC=CC3=CC=CC=C32)CSC4=NC(=CC(=N4)C)C,Inactive
179818,664033.0,CC1(CCCN(C1)C(=O)C2=COC(=O)C(=C2)Br)C,Inactive
257160,535852.0,C1CN2CCC1C(C2)(C3=CC=C(C=C3)N)C4=CC=C(C=C4)N,Inactive
329653,16009693.0,CCC1=CC=C(C=C1)N2C(=O)C3=C(C4=CC=CC=C4S3)N(C2=O)CC5=CC(=CC=C5)F,Inactive
49271,3528924.0,CC1=CC=CC=C1NC(=S)N(CCOC)C(C)C2=CC=CS2,Inactive
285182,23640827.0,CC1(CC(=NO1)C2=CC=C(C=C2)Cl)C3=NN=C(O3)C4=CC=NC=C4,Inactive
108879,1248979.0,CC1=C(C=C(C=C1)C(=O)N2CCN(CC2)C3=CC=CC=C3)S(=O)(=O)N4CCCC4,Inactive
271228,1475120.0,COC(=O)COC1=CC=C(C=C1)C2=NC=CC(=N2)C3=CC=C(C=C3)Br,Inactive
66797,6058877.0,CCN1C(=O)/C(=C\C2=C(C(=CC=C2)OC)OC3=C(C=C(C=C3)[N+](=O)[O-])[N+](=O)[O-])/SC1=S,Inactive
